metro,eps_codes,order_ids,test_range,figure_note
chicago,chi_eps_codes,392833_487984,SAT score 1020 - 1150,Order number 392833 (ordered 7/10/2018): HS class 2019 OR 2020; state = IL; SAT 1020 - 1150; GPA B- to A+. Order number 487984 (ordered 7/19/2019): HS class 2020 OR 2021; state = IL; SAT 1020 - 1150; GPA B- to A+ 
chicago,chi_eps_codes,392834_488035,SAT score 1160 - 1300,Order number 392834 (ordered 7/10/2018): HS class 2019 OR 2020; state = IL; SAT 1160 - 1300. Order number 488035 (ordered 7/19/2019): HS class 2019 OR 2020; state = IL; SAT 1160 - 1300; GPA B- to A+
chicago,chi_eps_codes,392835_488053,SAT score 1310 - 1600,Order number 392835 (ordered 7/9/2018): HS class 2019 OR 2020; state = IL; SAT 1310 - 1600; GPA B- to A+. Order number 488053 (ordered 7/19/2019): HS class 2020 OR 2021; state = IL; SAT 1310 - 1600; GPA B- to A+ 
philadelphia,philly_eps_codes,448922,PSAT score 1070 - 1180,Order number 448922 (ordered 1/9/2019): HS class 2020; selected Geomarkets; PSAT 1070 - 1180
philadelphia,philly_eps_codes,448427,PSAT score 1190 - 1260,Order number 448427 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1190 - 1260
philadelphia,philly_eps_codes,448440,PSAT score 1270 - 1520,Order number 448440 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1270 - 1520
los_angeles,los_angeles_eps_codes,448375_546954,PSAT score 1070 - 1180,Order number 448375 (ordered 1/8/2019): HS class 2020; State = CA; PSAT 1070 - 1180. Order number 546954 (ordered 1/6/2020): HS class 2021; State = CA; PSAT 1070 - 1180
los_angeles,los_angeles_eps_codes,448420_546946,PSAT score 1190 - 1260,Order number 448420 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1190 - 1260. Order number 546946 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1190 - 1260
los_angeles,los_angeles_eps_codes,448374_546945,PSAT score 1270 - 1520,Order number 448374 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1270 - 1520. Order number 546945 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1270 - 1520
orange_county,orange_county_eps_codes,448375_546954,PSAT score 1070 - 1180,Order number 448375 (ordered 1/8/2019): HS class 2020; State = CA; PSAT 1070 - 1180. Order number 546954 (ordered 1/6/2020): HS class 2021; State = CA; PSAT 1070 - 1180
orange_county,orange_county_eps_codes,448420_546946,PSAT score 1190 - 1260,Order number 448420 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1190 - 1260. Order number 546946 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1190 - 1260
orange_county,orange_county_eps_codes,448374_546945,PSAT score 1270 - 1520,Order number 448374 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1270 - 1520. Order number 546945 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1270 - 1520
san_diego,san_diego_eps_codes,448375_546954,PSAT score 1070 - 1180,Order number 448375 (ordered 1/8/2019): HS class 2020; State = CA; PSAT 1070 - 1180. Order number 546954 (ordered 1/6/2020): HS class 2021; State = CA; PSAT 1070 - 1180
san_diego,san_diego_eps_codes,448420_546946,PSAT score 1190 - 1260,Order number 448420 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1190 - 1260. Order number 546946 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1190 - 1260
san_diego,san_diego_eps_codes,448374_546945,PSAT score 1270 - 1520,Order number 448374 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1270 - 1520. Order number 546945 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1270 - 1520
bay_area,bay_area_eps_codes,448375_546954,PSAT score 1070 - 1180,Order number 448375 (ordered 1/8/2019): HS class 2020; State = CA; PSAT 1070 - 1180. Order number 546954 (ordered 1/6/2020): HS class 2021; State = CA; PSAT 1070 - 1180
bay_area,bay_area_eps_codes,448420_546946,PSAT score 1190 - 1260,Order number 448420 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1190 - 1260. Order number 546946 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1190 - 1260
bay_area,bay_area_eps_codes,448374_546945,PSAT score 1270 - 1520,Order number 448374 (ordered 1/8/2019): HS class 2020 OR 2021; State = CA; PSAT 1270 - 1520. Order number 546945 (ordered 1/6/2020): HS class 2021 OR 2022; State = CA; PSAT 1270 - 1520
northern_new_jersey,nj_north_metro_eps_codes,448922,PSAT score 1070 - 1180,Order number 448922 (ordered 1/9/2019): HS class 2020; selected Geomarkets; PSAT 1070 - 1180
northern_new_jersey,nj_north_metro_eps_codes,448427,PSAT score 1190 - 1260,Order number 448427 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1190 - 1260
northern_new_jersey,nj_north_metro_eps_codes,448440,PSAT score 1270 - 1520,Order number 448440 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1270 - 1520
long_island,long_island_eps_codes,448922,PSAT score 1070 - 1180,Order number 448922 (ordered 1/9/2019): HS class 2020; selected Geomarkets; PSAT 1070 - 1180
long_island,long_island_eps_codes,448427,PSAT score 1190 - 1260,Order number 448427 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1190 - 1260
long_island,long_island_eps_codes,448440,PSAT score 1270 - 1520,Order number 448440 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1270 - 1520
detroit,detroit_eps_codes,448922_484698,PSAT score 1070 - 1180,Order number 448922 (ordered 1/9/2019): HS class 2020; selected Geomarkets; PSAT 1070 - 1180. Order number 484698 (ordered 7/25/2019); HS class 2021; selected Geomarkets; PSAT 1070 - 1180
detroit,detroit_eps_codes,448427_547005,PSAT score 1190 - 1260,Order number 448427 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1190 - 1260. Order number 547005 (ordered 1/6/2020): HS class 2021; selected Geomarkets; PSAT 1190 - 1260.
detroit,detroit_eps_codes,448440_546978,PSAT score 1270 - 1520,Order number 448440 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1270 - 1520. Order number 546978 (ordered 1/6/2020): HS class 2021; selected Geomarkets; PSAT 1270 - 1520.
dallas,dallas_eps_codes,448922,PSAT score 1070 - 1180,Order number 448922 (ordered 1/9/2019): HS class 2020; selected Geomarkets; PSAT 1070 - 1180
dallas,dallas_eps_codes,448427,PSAT score 1190 - 1260,Order number 448427 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1190 - 1260
dallas,dallas_eps_codes,448440,PSAT score 1270 - 1520,Order number 448440 (ordered 1/8/2019): HS class 2020; selected Geomarkets; PSAT 1270 - 1520
houston,houston_eps_codes,329702,PSAT score 1010 - 1520,Order number 329702 (ordered 8/31/2017): HS class 2019; State = TX; PSAT 1010-1520
nyny,nyny_metro_eps_codes,487927,SAT score 1040 - 1600,Order number 487927 (ordered 7/19/2019): HS class 2020 OR 2021; Ethnicity/Race = American Indian or Alaska Native; SAT 1040-1600; GPA B- to A+
chicago,chi_eps_codes,487927,SAT score 1040 - 1600,Order number 487927 (ordered 7/19/2019): HS class 2020 OR 2021; Ethnicity/Race = American Indian or Alaska Native; SAT 1040-1600; GPA B- to A+
houston,houston_eps_codes,487927,SAT score 1040 - 1600,Order number 487927 (ordered 7/19/2019): HS class 2020 OR 2021; Ethnicity/Race = American Indian or Alaska Native; SAT 1040-1600; GPA B- to A+
los_angeles,los_angeles_eps_codes,487927,SAT score 1040 - 1600,Order number 487927 (ordered 7/19/2019): HS class 2020 OR 2021; Ethnicity/Race = American Indian or Alaska Native; SAT 1040-1600; GPA B- to A+
dallas,dallas_eps_codes,487927,SAT score 1040 - 1600,Order number 487927 (ordered 7/19/2019): HS class 2020 OR 2021; Ethnicity/Race = American Indian or Alaska Native; SAT 1040-1600; GPA B- to A+
